subject,mean_fd,mean_fd_noz,80percentile_fd,80percentile_fd_noz,max_fd,max_fd_noz,percent_suprathreshold,max_trans_x,max_trans_y,max_trans_z,max_rot_x,max_rot_y,max_rot_z
sub-BSCMR060,0.3297551393638365,0.16274453797566668,0.4278503572328039,0.196216449396363,3.2510680897857647,1.937607241203386,0.05573770491803279,0.5530535307768645,2.489659272580269,3.1403171878011022,4.448908331587711,0.40592697504622,0.4255836026294042
sub-BSCMR061,0.2138546899386997,0.08524931356194039,0.2843220289189975,0.10917824776585783,0.6294623499310384,0.3004037927033465,0.0,0.6523049977351434,2.4230616555749123,1.0234476928372374,0.738844855381092,0.4084261703196767,0.22057568066926592
sub-BSCMR062,0.06991968136790945,0.03711472864514206,0.08858833250680731,0.04794360736422905,0.4037376203246174,0.2201577484731748,0.0,0.0558930568399205,2.2098822494644,0.1575336378072904,0.19599746451213518,0.24317468150431193,0.16520027988332645
sub-BSCMR063,0.13373039923142183,0.0738499220011698,0.18523129551674372,0.11835042384402762,1.300113114460897,0.7568825015438119,0.013114754098360656,0.135215902043285,3.91650638412716,0.5462917978558579,0.8147881644243536,0.23187357791333507,0.19364247134739368
sub-BSCMR064,0.2774312210105513,0.13043846279278465,0.3226549831339278,0.1618882752790327,2.9457739244343366,1.7344826653439653,0.029508196721311476,1.6968184839554965,2.582680029379361,3.6271801098326506,2.1530450637020198,1.905372764508289,1.12508628555542
sub-BSCMR065,0.10304434222232853,0.05040598151567667,0.1360390842360377,0.0678833320687163,0.690735690618812,0.3972459844337872,0.0,0.4658022353308411,2.4619439402386263,0.2273626721286774,0.2559338568424803,0.40419962577489765,0.25090400810472563
sub-BSCMR066,0.1449765820599263,0.08290709486342454,0.16501402284223257,0.10171384750980803,2.851626251870957,1.440588587354991,0.01639344262295082,0.2309016445120306,3.503151881888797,1.4712423179428455,1.248531844696974,0.1941723940179747,0.2920986069932531
sub-BSCMR067,0.24871764072909364,0.1215548229183913,0.24863900466700006,0.1271364875775012,4.28925580504931,2.311748208272663,0.05573770491803279,0.6314518146386519,3.023296823185888,1.0361681613956932,0.9018088670038024,1.0352215621179597,0.6766346555470651
sub-BSCMR068,0.09016184395704939,0.03984463831472255,0.12345183115474305,0.05771227858988262,0.2384167248696639,0.12369049433085878,0.0,0.1698859239862429,2.256672365144837,0.4328718912362603,0.7334833835629824,0.15395484524022807,0.15875705636052118
sub-BSCMR069,0.16639871378086504,0.07268634225924843,0.18875062546867646,0.09410412212254979,1.70527787260424,0.682577724764819,0.013114754098360656,1.0363867394334392,3.3003259666716502,0.9877919928778028,0.5711224293003418,0.47940818443292693,0.234535046001962
sub-BSCMR070,0.11136425773180185,0.05301262580711357,0.14366282150813348,0.06733518385890208,0.649183024827195,0.3443292165501949,0.0,0.3152716558929995,2.405599545277184,0.1588532061089012,0.4753423007989987,0.3428514184383326,0.1642118108462157
sub-BSCMR071,0.43289138422882917,0.24534959993613206,0.5304336528858875,0.28794151607765694,9.35409372479154,4.395194128385697,0.11475409836065574,1.8694045279723213,2.266772512369414,4.579825071509603,3.582714894486491,0.9930390435688241,1.1772610762412212
sub-BSCMR072,0.08075517496873033,0.037722761847349934,0.1070061916792446,0.04836130531569094,0.3212499637301688,0.1995254059873259,0.0,0.1869618755964666,2.2251112957397936,0.2964966245933311,0.15126604013744435,0.1250257291744853,0.21510755244155488
sub-BSCMR073,0.21957175251829772,0.10603403625115114,0.27713523972740856,0.13570061686422602,1.7180528864344609,1.1352728238076084,0.009836065573770493,0.2099469450216275,3.839364531475837,1.2161824693651369,0.8281519268328095,0.7982140191166327,0.6236127574415548
sub-BSCMR074,0.1477889697376065,0.08854714432134717,0.14822076185943936,0.09244126941133858,3.827996130063952,3.1098087648641277,0.01639344262295082,0.6973451909076118,2.138393278096516,0.9557423383818816,1.1816119333837536,2.4924972759813935,0.7612746503503894
sub-BSCMR075,26.57600534015046,14.858458757517152,12.561228143959074,5.760277500241072,586.3757792890392,407.6862215325795,0.8885245901639345,364.2127911282535,252.1260415736892,171.02928609434946,55.85140807368153,21.391018998547413,110.37965466967971
sub-BSCMR076,0.1328595055326482,0.06236276454227154,0.1730186240764116,0.08453738684977605,0.72374566111681,0.5005346485030078,0.003278688524590164,0.3596096869807468,2.1986327808852053,0.4030851486462978,0.4133001110473989,0.6176576792566943,0.7362559722303473
sub-BSCMR077,0.08492198302270382,0.03528856838097145,0.11098750715815085,0.04469008206863737,0.3432293837088623,0.2515091679011653,0.0,0.23733013505543,2.1996715592092784,0.0762642824189328,0.3136539311446426,0.05162229986611301,0.12163491157600774
sub-BSCMR078,0.20404326561334565,0.09476497318809793,0.26366134285974635,0.13205454574405237,0.5750360384755503,0.41374207326677404,0.0,1.5281382595587445,1.9474660563754045,0.94466519017557,0.4652812442823186,1.1025529764892132,1.3494254638419318
sub-BSCMR079,0.08540850134812378,0.04375953722052728,0.09721464451479164,0.04595555621859007,1.9418467610493508,1.6775415988871984,0.003278688524590164,0.6485497959873214,3.4429912859292955,0.4885696043154226,0.32049134509000216,0.6373607933015462,1.5750097181173992
sub-BSCMR080,0.27092828218480286,0.12278744403123891,0.2763836566341608,0.133769065993456,5.60326786235664,3.6108317032526656,0.022950819672131147,1.1886136930172595,3.46851836915053,1.9554763755707607,2.7342202102827895,0.8532196728742321,0.575101355276598
sub-BSCMR081,0.30874579933009,0.16163929779503752,0.4059209209980753,0.22276720092067306,2.292226483623804,1.3909753281068873,0.07868852459016394,0.333078397930592,2.1332454194128303,0.969137864236636,2.235389934082424,0.7786185394235031,0.30272180527050296
sub-BSCMR082,0.1270974692869375,0.07532653643158368,0.1454891556369613,0.08492617163598414,2.188462235799101,1.2444720872158053,0.01639344262295082,0.2374808590420229,2.529008507358512,1.1355523153209433,1.6180314944521568,0.6221337469604376,0.4079697099129485
sub-BSCMR083,0.15065758438078997,0.054171418516941,0.19447466569941044,0.06595614793010687,0.5342983704085911,0.31535726855026985,0.0,0.2798564785323378,4.135568080622122,0.4644385262706123,0.9147774832716419,0.23680086119851088,0.11981295603842283
sub-BSCMR084,0.12732157317141302,0.06885038215209342,0.15247636088843278,0.08505230859176555,0.5932131889797793,0.378503374192419,0.0,0.087175563801594,2.40072640921521,0.384441536351872,1.420107081603794,0.16180988922033349,0.5926928739239287
