ROI	Subj1	Subj2	GroupStr	VideoType	Y	Yz
Default	BSCMR008	BSCMR125	B_B	erotic	-0.008680443149492477	-0.008680661183416871
Default	BSCMR008	BSCMR125	B_B	horror	0.04095358705997919	0.040976505862804255
Default	BSCMR008	BSCMR125	B_B	neutral	-0.005862929395881777	-0.005862996574597212
Default	BSCMR008	BSCMR126	B_B	erotic	0.35334495465660126	0.3692607794830768
Default	BSCMR008	BSCMR126	B_B	horror	0.1638589098354748	0.1653495212393907
Default	BSCMR008	BSCMR126	B_B	neutral	-0.1265980880500865	-0.1272809996121021
Default	BSCMR008	BSCMR127	B_B	erotic	0.4188949033019935	0.44635099034080283
Default	BSCMR008	BSCMR127	B_B	horror	0.27468044174020045	0.2819192322458581
Default	BSCMR008	BSCMR127	B_B	neutral	0.11571242823747424	0.11623305589236782
Default	BSCMR008	BSCMR128	B_B	erotic	-0.11500482094458933	-0.11551590500195807
Default	BSCMR008	BSCMR128	B_B	horror	0.09594472606561391	0.09624076577930787
Default	BSCMR008	BSCMR128	B_B	neutral	-0.019993113510241328	-0.019995778062341853
Default	BSCMR008	BSCMR129	B_B	erotic	0.024845956314284882	0.0248510708568567
Default	BSCMR008	BSCMR129	B_B	horror	0.19005573945803106	0.19239499686817768
Default	BSCMR008	BSCMR129	B_B	neutral	0.28557483516756976	0.29374149288652507
Default	BSCMR008	BSCMR130	B_B	erotic	-0.03453324580142943	-0.034546983116149704
Default	BSCMR008	BSCMR130	B_B	horror	0.19749640582306474	0.2001259970804541
Default	BSCMR008	BSCMR130	B_B	neutral	-0.2568067429988311	-0.2626866688035829
Default	BSCMR008	BSCMR131	B_B	erotic	0.34799692422537915	0.36316286518823565
Default	BSCMR008	BSCMR131	B_B	horror	0.32072586913824935	0.332455995941508
Default	BSCMR008	BSCMR131	B_B	neutral	-0.16967553535612792	-0.17133256173224543
Default	BSCMR008	BSCMR132	B_B	erotic	-0.4570297566389479	-0.49355035560972643
Default	BSCMR008	BSCMR132	B_B	horror	-0.10440933493423146	-0.10479123547521282
Default	BSCMR008	BSCMR132	B_B	neutral	-0.17913574259225454	-0.18108963495413133
Default	BSCMR008	BSCMR135	B_B	erotic	0.2905781160571696	0.29919757928016555
Default	BSCMR008	BSCMR135	B_B	horror	0.25458954608772577	0.26031436582386314
Default	BSCMR008	BSCMR135	B_B	neutral	-0.24426928545049342	-0.24930930111856972
Default	BSCMR008	BSCMR136	B_B	erotic	0.15118377333401092	0.15235167786823484
Default	BSCMR008	BSCMR136	B_B	horror	0.02540251094275907	0.025407977034022262
Default	BSCMR008	BSCMR136	B_B	neutral	-0.029174044681501667	-0.029182325829343953
Default	BSCMR008	BSCMR137	B_B	erotic	0.09715137700080223	0.09745877053111615
Default	BSCMR008	BSCMR137	B_B	horror	0.10860144969263472	0.10903145523116503
Default	BSCMR008	BSCMR137	B_B	neutral	-0.29937340380185395	-0.3088311790517285
Default	BSCMR008	BSCMR138	B_B	erotic	0.02306852872688166	0.02307262206042162
Default	BSCMR008	BSCMR138	B_B	horror	-0.2909738059009672	-0.29962981494194163
Default	BSCMR008	BSCMR138	B_B	neutral	-0.0732959782815423	-0.0734276590051804
Default	BSCMR008	BSCMR139	B_B	erotic	0.031527800218490706	0.031538252687184076
Default	BSCMR008	BSCMR139	B_B	horror	0.1408820009291052	0.14182532338590315
Default	BSCMR008	BSCMR139	B_B	neutral	0.05479097734663591	0.05484590475731059
Default	BSCMR008	BSCMR140	B_B	erotic	-0.008033992389619375	-0.00803416524775026
Default	BSCMR008	BSCMR140	B_B	horror	-0.08854865325501152	-0.08878118081841557
Default	BSCMR008	BSCMR140	B_B	neutral	0.19019536759050357	0.19253986152900232
Default	BSCMR008	BSCMR141	B_B	erotic	-0.0020155982567083962	-0.0020156009862626195
Default	BSCMR008	BSCMR141	B_B	horror	0.18799977171976767	0.19026284323628231
Default	BSCMR008	BSCMR141	B_B	neutral	-0.001975890981119422	-0.0019758935525138552
Default	BSCMR008	BSCMR143	B_B	erotic	-0.16446707214335307	-0.165974527157925
Default	BSCMR008	BSCMR143	B_B	horror	-0.013937077422476336	-0.013937979916848068
Default	BSCMR008	BSCMR143	B_B	neutral	-0.09582600436564606	-0.09612094242286398
Default	BSCMR008	BSCMR144	B_B	erotic	-0.017048508431512344	-0.017050160445261794
Default	BSCMR008	BSCMR144	B_B	horror	0.28455280304615804	0.29262906304921715
Default	BSCMR008	BSCMR144	B_B	neutral	-0.374520655251793	-0.39367101379088937
Default	BSCMR008	BSCMR145	B_B	erotic	0.08961479590983619	0.08985585168662763
Default	BSCMR008	BSCMR145	B_B	horror	-0.16260667724302275	-0.1640630094240001
Default	BSCMR008	BSCMR145	B_B	neutral	-0.13686339666348327	-0.13772768770081742
Default	BSCMR008	BSCMR146	B_B	erotic	-0.16327184776487347	-0.16474632136131104
Default	BSCMR008	BSCMR146	B_B	horror	0.1676770564728188	0.16927555681202835
Default	BSCMR008	BSCMR146	B_B	neutral	-0.10409965144230313	-0.10447814904445998
Default	BSCMR008	BSCMR148	B_B	erotic	0.15706189179000382	0.15837284114303551
Default	BSCMR008	BSCMR148	B_B	horror	-0.15815754219214728	-0.15949640184134273
Default	BSCMR008	BSCMR148	B_B	neutral	0.05014461726680263	0.05018671004656346
Default	BSCMR010	BSCMR011	A_A	erotic	-0.016655616457467562	-0.01665715685627716
Default	BSCMR010	BSCMR011	A_A	horror	0.19359852416573556	0.1960731327626821
Default	BSCMR010	BSCMR011	A_A	neutral	0.2074370765956628	0.21049168623607736
Default	BSCMR010	BSCMR012	A_A	erotic	-0.11503820301873184	-0.11554973464046966
Default	BSCMR010	BSCMR012	A_A	horror	-0.05428114276457975	-0.054334549299927426
Default	BSCMR010	BSCMR012	A_A	neutral	-0.2091110939574148	-0.21224161254978335
Default	BSCMR010	BSCMR037	A_A	erotic	0.24138312711138354	0.24624229545775286
Default	BSCMR010	BSCMR037	A_A	horror	0.215242763913267	0.218662362472531
Default	BSCMR010	BSCMR037	A_A	neutral	-0.11110684608298847	-0.11156745731820268
Default	BSCMR010	BSCMR038	A_A	erotic	0.17181653645536352	0.17353785742614788
Default	BSCMR010	BSCMR038	A_A	horror	-0.28896859576367506	-0.29744052072517
Default	BSCMR010	BSCMR038	A_A	neutral	-0.105063101843098	-0.10545225356254735
Default	BSCMR010	BSCMR056	A_A	erotic	-0.2882380112668469	-0.29664355545487203
Default	BSCMR010	BSCMR056	A_A	horror	-0.2799191130253254	-0.287594306623731
Default	BSCMR010	BSCMR056	A_A	neutral	-0.049971765928387	-0.05001342448484459
Default	BSCMR010	BSCMR057	A_A	erotic	-0.3371025313969351	-0.35081996562453954
